1,574 ROCKFISH GAP _NEL_ TPKE @ ROYAL ORCHARD _NEL_,Afton,VA,22920
2,7330 BATESVILLE,Afton,VA,22920
3,ROCKFISH GAP TPKE / LITTLE ROCK,Afton,VA,22920
4,East I64 MM121 East,Albemarle,VA,22902
5,I64 MM120,albemarle,VA,22902
6,0 I-64 117 WB,Albemarle,VA,22903
7,0 MM 118 I 64 West,Albemarle,VA,22903
8,MM 114 I-64 EB,Albemarle,VA,22903
9,156 BRANDYWINE,Charlotterville,VA,22901
10,831 RIDGE,Charlotterville,VA,22902
11,1210 LEE,Charlotterville,VA,22903
12,0 2115 HYDRAULIC North,Charlottesville,VA,22901
13,0 250 Bypass,Charlottesville,VA,22901
14,100 DENICE,Charlottesville,VA,22901
15,100 MARIE,Charlottesville,VA,22901
16,100 TURTLE CREEK,Charlottesville,VA,22901
17,100 TWENTYNINTH PLACE,Charlottesville,VA,22901
18,100 WARREN,Charlottesville,VA,22901
19,100 WESTMINSTER,Charlottesville,VA,22901
20,100 WOODBROOK,Charlottesville,VA,22901
21,100 Zan,Charlottesville,VA,22901
22,1000 FERN,Charlottesville,VA,22901
23,1000 JOHN W WARNER,Charlottesville,VA,22901
24,1000 RIO East,Charlottesville,VA,22901
25,1001 PARK,Charlottesville,VA,22901
26,1001 Park Street,Charlottesville,VA,22901
27,1001 PEARTREE,Charlottesville,VA,22901
28,1001 SHERIDAN,Charlottesville,VA,22901
29,1002 COTTONWOOD,Charlottesville,VA,22901
30,1003 HOLMES,Charlottesville,VA,22901
31,1003 LOCUST,Charlottesville,VA,22901
32,1003 PARK,Charlottesville,VA,22901
33,1003 ST CHARLES,Charlottesville,VA,22901
34,1004 COTTONWOOD,Charlottesville,VA,22901
35,1004 GLENDALE,Charlottesville,VA,22901
36,1004 HOLMES,Charlottesville,VA,22901
37,1004 HUNTWOOD,Charlottesville,VA,22901
38,1004 ST CLAIR,Charlottesville,VA,22901
39,1005 COTTONWOOD,Charlottesville,VA,22901
40,1005 PARK,Charlottesville,VA,22901
41,1005 ST CHARLES,Charlottesville,VA,22901
42,1006 ASHBY,Charlottesville,VA,22901
43,1006 COLEMAN,Charlottesville,VA,22901
44,1006 HOLMES,Charlottesville,VA,22901
45,1006 PARK,Charlottesville,VA,22901
46,1006 PEARTREE,Charlottesville,VA,22901
47,1007 COLEMAN,Charlottesville,VA,22901
48,1007 ST CLAIR,Charlottesville,VA,22901
49,1008 SHERIDAN,Charlottesville,VA,22901
50,1008 ST CLAIR,Charlottesville,VA,22901
51,1009 CALHOUN,Charlottesville,VA,22901
52,1009 COTTONWOOD,Charlottesville,VA,22901
53,1009 LOCUST,Charlottesville,VA,22901
54,1009 SMITH,Charlottesville,VA,22901
55,101 GEORGETOWN,Charlottesville,VA,22901
56,101 GEORGETOWN E,Charlottesville,VA,22901
57,101 GREENBRIER,Charlottesville,VA,22901
58,101 MARIE,Charlottesville,VA,22901
59,101 MELBOURNE PARK A,Charlottesville,VA,22901
60,101 MELBOURNE PARK E,Charlottesville,VA,22901
61,101 PETERSON,Charlottesville,VA,22901
62,101 SEMINOLE,Charlottesville,VA,22901
63,1010 PEARTREE,Charlottesville,VA,22901
64,1010 ST CHARLES,Charlottesville,VA,22901
65,1011 PEARTREE,Charlottesville,VA,22901
66,1012 COLEMAN,Charlottesville,VA,22901
67,1012 GLENDALE,Charlottesville,VA,22901
68,1012 LOCUST,Charlottesville,VA,22901
69,1012 SHERIDAN,Charlottesville,VA,22901
70,1013 SMITH,Charlottesville,VA,22901
71,1013 ST CHARLES,Charlottesville,VA,22901
72,1014 COLEMAN,Charlottesville,VA,22901
73,1014 HOLMES,Charlottesville,VA,22901
74,1015 COLEMAN,Charlottesville,VA,22901
75,1015 COTTONWOOD,Charlottesville,VA,22901
76,1015 GLENDALE,Charlottesville,VA,22901
77,1015 HOLMES,Charlottesville,VA,22901
78,1015 PEARTREE,Charlottesville,VA,22901
79,1015 SMITH A,Charlottesville,VA,22901
80,1015 SMITH B,Charlottesville,VA,22901
81,1015 WOOD,Charlottesville,VA,22901
82,1016 Sheridan,Charlottesville,VA,22901
83,1017 COTTONWOOD,Charlottesville,VA,22901
84,1018 GLENDALE,Charlottesville,VA,22901
85,1018 ST CHARLES,Charlottesville,VA,22901
86,1019 HOLMES,Charlottesville,VA,22901
87,1019 SHERIDAN,Charlottesville,VA,22901
88,102 DENICE,Charlottesville,VA,22901
89,102 MARIE,Charlottesville,VA,22901
90,102 MEADOWBROOK,Charlottesville,VA,22901
91,102 MELISSA,Charlottesville,VA,22901
92,1020 CARRINGTON,Charlottesville,VA,22901
93,1020 COLEMAN B,Charlottesville,VA,22901
94,1020 HOLMES,Charlottesville,VA,22901
95,1020 LOCUST,Charlottesville,VA,22901
96,1021 COTTONWOOD,Charlottesville,VA,22901
97,1021 PARK,Charlottesville,VA,22901
98,1022 COTTONWOOD,Charlottesville,VA,22901
99,1022 MARTIN,Charlottesville,VA,22901
100,1022 Martin Street,Charlottesville,VA,22901
101,1023 HOLMES,Charlottesville,VA,22901
102,1023 MARTIN,Charlottesville,VA,22901
103,1023 PARK,Charlottesville,VA,22901
104,1023 ST CHARLES,Charlottesville,VA,22901
105,1023 ST CLAIR,Charlottesville,VA,22901
106,1025 COTTONWOOD,Charlottesville,VA,22901
107,1025 PARK,Charlottesville,VA,22901
108,1025 SEMINOLE,Charlottesville,VA,22901
109,1025 ST CHARLES,Charlottesville,VA,22901
110,1026 ST CLAIR,Charlottesville,VA,22901
111,1027 HOLMES,Charlottesville,VA,22901
112,1027 ST CHARLES,Charlottesville,VA,22901
113,1028 MARTIN,Charlottesville,VA,22901
114,1028 St Charles,Charlottesville,VA,22901
115,1029 COTTONWOOD,Charlottesville,VA,22901
116,103 GEORGETOWN E,Charlottesville,VA,22901
117,103 GREENBRIER,Charlottesville,VA,22901
118,103 GROVER,Charlottesville,VA,22901
119,103 KERRY,Charlottesville,VA,22901
120,103 TURTLE CREEK 9,Charlottesville,VA,22901
121,1030 LOCUST,Charlottesville,VA,22901
122,1031 MARTIN,Charlottesville,VA,22901
123,1032 MARTIN,Charlottesville,VA,22901
124,1033 LOCUST,Charlottesville,VA,22901
125,1034 COTTONWOOD,Charlottesville,VA,22901
126,1035 LOCUST,Charlottesville,VA,22901
127,1036 LOCUST 3,Charlottesville,VA,22901
128,1036 ST CLAIR,Charlottesville,VA,22901
129,1037 MARTIN,Charlottesville,VA,22901
130,1037 ST CLAIR,Charlottesville,VA,22901
131,1038 LOCUST,Charlottesville,VA,22901
132,1038 MARTIN,Charlottesville,VA,22901
133,1038 ST CHARLES,Charlottesville,VA,22901
134,1039 ST CLAIR,Charlottesville,VA,22901
135,104 GREENBRIER,Charlottesville,VA,22901
136,104 LINDA,Charlottesville,VA,22901
137,104 MEADOWBROOK,Charlottesville,VA,22901
138,104 MELBOURNE PARK B,Charlottesville,VA,22901
139,104 WESTMINSTER,Charlottesville,VA,22901
140,1040 CHESHIRE,Charlottesville,VA,22901
141,1040 ST CLAIR,Charlottesville,VA,22901
142,105 KERRY,Charlottesville,VA,22901
143,1051 GLENWOOD STATION 105,Charlottesville,VA,22901
144,1051 GLENWOOD STATION 407,Charlottesville,VA,22901
145,106 Kerry,Charlottesville,VA,22901
146,106 MARIE,Charlottesville,VA,22901
147,106 MEADOWBROOK,Charlottesville,VA,22901
148,106 WILSON,Charlottesville,VA,22901
149,107 WHITEWOOD,Charlottesville,VA,22901
150,107 Wilson,Charlottesville,VA,22901
151,108 HOLLY,Charlottesville,VA,22901
152,108 INGLEWOOD,Charlottesville,VA,22901
153,108 KERRY,Charlottesville,VA,22901
154,108 MELBOURNE PARK F,Charlottesville,VA,22901
155,108 WILSON,Charlottesville,VA,22901
156,1080 RIO East,Charlottesville,VA,22901
157,1088 RIO East,Charlottesville,VA,22901
158,109 KERRY,Charlottesville,VA,22901
159,109 WOODLAKE,Charlottesville,VA,22901
160,1099 RIO East,Charlottesville,VA,22901
161,110 KERRY,Charlottesville,VA,22901
162,110 TURTLE CREEK 10,Charlottesville,VA,22901
163,1100 0,Charlottesville,VA,22901
164,1100 JOHN WARNER West,Charlottesville,VA,22901
165,1100 Locust,Charlottesville,VA,22901
166,1100 PARK,Charlottesville,VA,22901
167,1100 SEMINOLE,Charlottesville,VA,22901
168,1101 COTTONWOOD,Charlottesville,VA,22901
169,1101 RIVER,Charlottesville,VA,22901
170,1101 SEMINOLE,Charlottesville,VA,22901
171,1103 ST CHARLES,Charlottesville,VA,22901
172,1105 LOCUST,Charlottesville,VA,22901
173,1105 PARK,Charlottesville,VA,22901
174,1106 PARK,Charlottesville,VA,22901
175,1107 CALHOUN,Charlottesville,VA,22901
176,1109 LOCUST,Charlottesville,VA,22901
177,1109 River,Charlottesville,VA,22901
178,111 DENICE,Charlottesville,VA,22901
179,111 HESSIAN HILLS,Charlottesville,VA,22901
180,111 HESSIAN HILLS 3,Charlottesville,VA,22901
181,111 MELBOURNE PARK,Charlottesville,VA,22901
182,111 TURTLE CREEK 10,Charlottesville,VA,22901
183,111 TURTLE CREEK 9,Charlottesville,VA,22901
184,111 TURTLE CREEK,Charlottesville,VA,22901
185,1110 RIVER,Charlottesville,VA,22901
186,1110 ST CHARLES,Charlottesville,VA,22901
187,1111 COTTONWOOD,Charlottesville,VA,22901
188,1112 HOLMES,Charlottesville,VA,22901
189,1112 LOCUST,Charlottesville,VA,22901
190,1112 RIVER,Charlottesville,VA,22901
191,1112 ST CHARLES,Charlottesville,VA,22901
192,1113 LOCUST,Charlottesville,VA,22901
193,1113 RAINTREE,Charlottesville,VA,22901
194,1113 ST CHARLES,Charlottesville,VA,22901
195,1114 HOLMES,Charlottesville,VA,22901
196,1115 PARK,Charlottesville,VA,22901
197,1116 HOLMES,Charlottesville,VA,22901
198,1116 LOCUST,Charlottesville,VA,22901
199,1117 PARK,Charlottesville,VA,22901
200,1117 RIVER,Charlottesville,VA,22901
201,1118 HOLMES,Charlottesville,VA,22901
202,1121 PARK,Charlottesville,VA,22901
203,1121 ST CHARLES,Charlottesville,VA,22901
204,1125 Park,Charlottesville,VA,22901
205,1126 PARK,Charlottesville,VA,22901
206,1128 LOCUST,Charlottesville,VA,22901
207,1129 ST CLAIR,Charlottesville,VA,22901
208,1129 St Claire,Charlottesville,VA,22901
209,1129 St. Clair,Charlottesville,VA,22901
210,113 TURTLE CREEK,Charlottesville,VA,22901
211,113 TURTLE CREEK 1,Charlottesville,VA,22901
212,1130 OTTER,Charlottesville,VA,22901
213,1135 RIVER,Charlottesville,VA,22901
214,1136 ST CLAIR,Charlottesville,VA,22901
215,1138 LOCUST,Charlottesville,VA,22901
216,1140 ST CLAIR,Charlottesville,VA,22901
217,1141 RIVER,Charlottesville,VA,22901
218,1142 LOCUST,Charlottesville,VA,22901
219,1145 RIVER,Charlottesville,VA,22901
220,1147 RIVER,Charlottesville,VA,22901
221,1149 SEMINOLE,Charlottesville,VA,22901
222,1149 SEMINOLE 10,Charlottesville,VA,22901
223,1149 SEMINOLE 11,Charlottesville,VA,22901
224,1149 SEMINOLE 2,Charlottesville,VA,22901
225,1149 SEMINOLE 3,Charlottesville,VA,22901
226,1149 SEMINOLE 4,Charlottesville,VA,22901
227,1149 SEMINOLE 6,Charlottesville,VA,22901
228,1149 SEMINOLE 7,Charlottesville,VA,22901
229,1149 Seminole 8,Charlottesville,VA,22901
230,1149 Seminole Trail,Charlottesville,VA,22901
231,1149 ST CLAIR,Charlottesville,VA,22901
232,115 MEGAN B,Charlottesville,VA,22901
233,115 TURTLE CREEK 7,Charlottesville,VA,22901
234,1150 NORTHWEST,Charlottesville,VA,22901
235,1150 NORTHWEST 226,Charlottesville,VA,22901
236,1155 SEMINOLE,Charlottesville,VA,22901
237,116 HESSIAN HILLS 1,Charlottesville,VA,22901
238,116 TURTLE CREEK 5,Charlottesville,VA,22901
239,1162 RIVER CHASE,Charlottesville,VA,22901
240,1163 RIVER CHASE,Charlottesville,VA,22901
241,1164 FARROW,Charlottesville,VA,22901
242,1165 TENNIS,Charlottesville,VA,22901
243,1168 PINE HAVEN,Charlottesville,VA,22901
244,117 FALCON,Charlottesville,VA,22901
245,117 GEORGETOWN A,Charlottesville,VA,22901
246,1170 River,Charlottesville,VA,22901
247,1175 JOHN W WARNER,Charlottesville,VA,22901
248,1176 RIVER,Charlottesville,VA,22901
249,118 BRANDYWINE,Charlottesville,VA,22901
250,118 HESSIAN HILLS 3,Charlottesville,VA,22901
251,118 WOODSTOCK,Charlottesville,VA,22901
252,1180 SEMINOLE,Charlottesville,VA,22901
253,1180 SEMINOLE 105,Charlottesville,VA,22901
254,1185 Seminole,Charlottesville,VA,22901
255,119 West PARK,Charlottesville,VA,22901
256,1193 SEMINOLE,Charlottesville,VA,22901
257,1199 PEN PARK,Charlottesville,VA,22901
258,120 Brandywine,Charlottesville,VA,22901
259,120 SEMINOLE,Charlottesville,VA,22901
260,120 TURTLE CREEK 3,Charlottesville,VA,22901
261,120 WALDORF SCHOOL,Charlottesville,VA,22901
262,1200 CUTLER,Charlottesville,VA,22901
263,1200 HOLMES,Charlottesville,VA,22901
264,1200 JOHN W WARNER,Charlottesville,VA,22901
265,1200 LANDONIA,Charlottesville,VA,22901
266,1200 LANDONIA B,Charlottesville,VA,22901
267,1200 PARK,Charlottesville,VA,22901
268,1200 PARK B,Charlottesville,VA,22901
269,1200 St. George,Charlottesville,VA,22901
270,1201 PEN PARK,Charlottesville,VA,22901
271,1204 AGNESE,Charlottesville,VA,22901
272,1204 CUTLER,Charlottesville,VA,22901
273,1205 LILI,Charlottesville,VA,22901
274,1205 LONG,Charlottesville,VA,22901
275,1205 RIVER VISTA,Charlottesville,VA,22901
276,1205 ST GEORGE,Charlottesville,VA,22901
277,1206 Agnese,Charlottesville,VA,22901
278,1206 St George,Charlottesville,VA,22901
279,1206 St George Ave,Charlottesville,VA,22901
280,1207 AGNESE,Charlottesville,VA,22901
281,1207 BELLEVIEW,Charlottesville,VA,22901
